category,n,pct
mattress_store,22283,0.02586113109946609
boat_service_and_repair,22239,0.02581006572369189
pharmaceutical_companies,22231,0.025800781109914763
medical_spa,22088,0.02563481863864861
automation_services,22073,0.0256174099878165
commercial_refrigeration,22010,0.025544293654321617
animal_shelter,21925,0.02544564463293964
truck_repair,21815,0.02531798119350414
filipino_restaurant,21675,0.02515550045240441
hiking_trail,21669,0.025148536992071566
music_and_dvd_store,21416,0.02485491108136991
pet_sitting,21306,0.024727247641934413
music_school,21284,0.024701714954047313
outlet_store,21043,0.024422015964011355
carpet_cleaning,20979,0.02434773905379433
water_park,20948,0.024311761175407967
horse_riding,20924,0.024283907334076583
winery,20844,0.02419106119630531
building_contractor,20680,0.024000726613874198
public_health_clinic,20662,0.02397983623287566
kids_recreation_and_party,20515,0.023809231454720945
bookkeeper,20446,0.023729151660893226
bartender,20361,0.023630502639511244
community_museum,20357,0.02362586033262268
b2b_furniture_and_housewares,20337,0.023602648798179863
luggage_store,20242,0.023492394009576475
music_production,20231,0.023479627665632927
online_shop,20109,0.023338037305531734
disability_services_and_support_organization,19855,0.02304325081810794
southern_restaurant,19792,0.02297013448461306
movers,19782,0.022958528717391655
laser_hair_removal,19782,0.022958528717391655
radio_station,19769,0.022943441220003823
drive_in_theater,19742,0.022912105648506015
boot_camp,19681,0.02284131046845542
adult_entertainment,19625,0.022776318172015527
fire_department,19559,0.022699720108354228
movie_television_studio,19545,0.022683472034244253
gelato,19536,0.022673026843744986
hindu_temple,19381,0.022493137451813146
doner_kebab,19199,0.022281912488383498
b2b_apparel,19198,0.022280751911661355
acupuncture,19154,0.022229686535887156
auto_glass_service,18768,0.02178170392114076
skate_park,18664,0.021661003942038105
soup_restaurant,18612,0.021600653952486778
towing_service,18561,0.021541464539657593
media_agency,18419,0.021376662645113582
computer_coaching,18395,0.0213488088037822
sightseeing_tour_agency,18334,0.021278013623731603
theatrical_productions,18321,0.02126292612634377
equestrian_facility,18312,0.021252480935844503
soccer_stadium,18285,0.021221145364346695
safety_equipment,18219,0.021144547300685396
mosque,18181,0.021100445385244044
roofing,18136,0.0210482194327477
health_department,18120,0.021029650205193446
bike_rentals,18112,0.021020365591416318
fishmonger,18024,0.02091823483986792
hair_extensions,17873,0.020742987754824638
greek_restaurant,17834,0.020697725262661143
botanical_garden,17811,0.020671031998051904
mobile_phone_accessories,17563,0.020383208970960954
donuts,17551,0.020369282050295263
trucks_and_industrial_vehicles,17540,0.020356515706351715
currency_exchange,17415,0.0202114436160841
appraisal_services,17305,0.020083780176648598
orthopedist,17303,0.020081459023204316
e_cigarette_store,16640,0.019311996656424888
skilled_nursing,16606,0.019272537047872094
mobile_phone_repair,16603,0.019269055317705674
lighting_store,16537,0.019192457254044372
linen,16487,0.019134428417937326
pilates_studio,16462,0.019105413999883802
truck_rentals,16325,0.018946414988950496
private_association,16112,0.01869921214713448
surgical_center,16093,0.018677161189413805
flooring_store,16092,0.018676000612691663
meditation_center,16080,0.018662073692025972
energy_equipment_and_solution,16040,0.018615650623140335
emergency_roadside_service,15921,0.018477541993205567
karaoke,15909,0.018463615072539876
self_storage_facility,15809,0.018347557400325783
hvac_supplier,15780,0.018313900675383694
b2b_farming,15769,0.018301134331440146
excavation_service,15696,0.018216412230723858
merchandising_service,15554,0.018051610336179847
obstetrician_and_gynecologist,15521,0.0180133113043492
water_treatment_equipment_and_services,15443,0.017922786320022206
recycling_center,15400,0.017872881520970146
taiwanese_restaurant,15397,0.017869399790803726
personal_injury_law,15390,0.01786127575374874
traffic_school,15289,0.017744057504812505
surfing,15285,0.017739415197923943
sake_bar,15277,0.017730130584146814
chocolatier,15243,0.01769067097559402
rental_kiosks,15198,0.017638445023097683
casino,15167,0.017602467144711312
lingerie_store,15052,0.017469000821665106
hunting_and_fishing_supplies,15032,0.01744578928722229
restaurant_wholesale,14979,0.01738427872094882
